ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2013-01-02 22:29:51+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],53802,US,71.56.209.168,Seventeen,MARINA,The Family Jewels,spotify:track:4EhovD4EJTJuGK4F4MGkoQ,,,,trackdone,popup,TRUE,TRUE,FALSE,,FALSE
2013-01-03 04:54:47+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],22325,US,71.56.209.168,Flowers in Your Hair,The Lumineers,The Lumineers,spotify:track:4BDpHt1JrVQzaU7E6RBbXh,,,,popup,popup,FALSE,TRUE,FALSE,,FALSE
2013-01-03 04:59:03+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],7267,US,71.56.209.168,Invisible,Jonas Brothers,JONAS L.A.,spotify:track:6mcn0724UGIdcFihUMfsAj,,,,trackdone,fwdbtn,TRUE,TRUE,FALSE,,FALSE
2013-01-03 04:59:22+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],19501,US,71.56.209.168,Poison Ivy,Jonas Brothers,"Lines, Vines and Trying Times",spotify:track:5wJdKfaTfDsUpUJjWGHWlF,,,,fwdbtn,fwdbtn,TRUE,TRUE,FALSE,,FALSE
2013-01-03 04:59:24+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],325,US,71.56.209.168,Things Will Never Be the Same,Jonas Brothers,JONAS L.A.,spotify:track:2bLRFoBQvmGLVhvJypnC5c,,,,fwdbtn,fwdbtn,TRUE,TRUE,FALSE,,FALSE
2013-01-03 04:59:25+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],0,US,71.56.209.168,Burnin' Up - The 3D Concert Experience,Jonas Brothers,Music from the 3D Concert Experience,spotify:track:3ZmfzVIpNT2ntdjbghPqDn,,,,fwdbtn,fwdbtn,TRUE,TRUE,FALSE,,FALSE
2013-01-03 04:59:27+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],0,US,71.56.209.168,Hello Beautiful - The 3D Concert Experience,Jonas Brothers,Music from the 3D Concert Experience,spotify:track:2EkS5UsTTdTvsdpw2P98nx,,,,fwdbtn,fwdbtn,TRUE,TRUE,FALSE,,FALSE
2013-01-03 10:26:58+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],151000,US,71.56.209.168,Goodnight and Goodbye,Jonas Brothers,Jonas Brothers,spotify:track:7jkdoZDrltDoxiCzWiv4bx,,,,fwdbtn,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-01-03 10:30:13+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],194600,US,71.56.209.168,L.A. Baby (Where Dreams Are Made Of),Jonas Brothers,JONAS L.A.,spotify:track:3JG2VnwaVmVLf8BUGw7QlK,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-01-03 10:30:18+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],4829,US,71.56.209.168,S.O.S. - The 3D Concert Experience,Jonas Brothers,Music from the 3D Concert Experience,spotify:track:3GC2EVxUmyP8jlULHWMAba,,,,trackdone,fwdbtn,TRUE,TRUE,FALSE,,FALSE
